rmse_min,rmse_act_min,rmse_pca_min,distance_min,index_min,rmse_max,rmse_act_max,rmse_pca_max,distance_max,index_max
0.0,,,0.6887580286676634,0,0.35899513931559507,,,2.913080186913492,3
0.0,,,0.8675732820869257,1,0.6148720845015195,,,2.83593587371774,4
0.0,,,0.4631181654739014,2,0.31333554835941085,,,1.9067324036463975,3
0.0,,,0.48024815040181407,3,0.35899513931559507,,,3.519251185898028,0
0.3314704438538386,,,1.3897586201056382,0,0.42279826771667833,,,3.6094948595772562,3
0.321735112156867,,,0.8438024736947671,4,0.43856327673575757,,,3.4624366970620777,3
0.27533660355687184,,,0.7940852849180676,2,0.379914268196173,,,2.655132218919659,3
0.25810225880378407,,,0.7138201733916812,2,0.32300849173768376,,,2.5413584852814317,0
0.0,,,0.44657315887834903,1,0.6148720845015195,,,2.9958019305090957,4
0.31686550926405477,,,1.1511921303518096,4,0.3537776744083469,,,3.08014612871768,0
0.0,,,0.6183869632870751,4,0.42279826771667833,,,2.965362232743651,3
