rmse_min,rmse_act_min,rmse_pca_min,distance_min,index_min,rmse_max,rmse_act_max,rmse_pca_max,distance_max,index_max
0.0,,,0.5299099634151018,0,0.23874200354570316,,,3.4182638654331203,2
0.0,,,0.5511406028574707,1,0.4226597363877475,,,3.367744388489437,2
0.0,,,0.5721681224628774,2,0.23874200354570316,,,3.614981425335309,0
0.3992857884213457,,,1.494951438335612,1,0.35899513931559507,,,3.156267410458738,0
0.0,,,0.5883145291463263,4,0.6148720845015195,,,1.9763873709280828,1
0.321735112156867,,,0.8856215144732921,4,0.6108290221548718,,,2.595041016039699,1
0.27533660355687184,,,1.0606789858687125,2,0.3349378150364164,,,2.738964400532061,0
0.2966289252292293,,,0.6261604338228165,4,0.48272389643562397,,,2.776364194136647,1
0.0,,,0.7849563976991836,1,0.4933058730972799,,,3.078485495259059,0
0.31686550926405477,,,0.6659541170896194,4,0.3228451601943453,,,2.338557459202454,2
